show_id,title,type,release_year
1,Dick Johnson Is Dead,Movie,2020
2,Blood & Water,TV Show,2021
3,Ganglands,TV Show,2021
4,Jailbirds New Orleans,TV Show,2021
5,Kota Factory,TV Show,2021
6,Midnight Mass,TV Show,2021
7,My Little Pony: A New Generation,Movie,2021
8,Sankofa,Movie,1993
9,The Great British Baking Show,TV Show,2021
10,The Starling,Movie,2021
11,"Vendetta: Truth, Lies and The Mafia",TV Show,2021
12,Bangkok Breaking,TV Show,2021
13,Je Suis Karl,Movie,2021
14,Confessions of an Invisible Girl,Movie,2021
15,Crime Stories: India Detectives,TV Show,2021
16,Dear White People,TV Show,2021
17,Europe's Most Dangerous Man: Otto Skorzeny in Spain,Movie,2020
18,Falsa identidad,TV Show,2020
19,Intrusion,Movie,2021
20,Jaguar,TV Show,2021
21,Monsters Inside: The 24 Faces of Billy Milligan,TV Show,2021
22,Resurrection: Ertugrul,TV Show,2018
23,Avvai Shanmughi,Movie,1996
24,Go! Go! Cory Carson: Chrissy Takes the Wheel,Movie,2021
25,Jeans,Movie,1998
26,Love on the Spectrum,TV Show,2021
27,Minsara Kanavu,Movie,1997
28,Grown Ups,Movie,2010
29,Dark Skies,Movie,2013
30,Paranoia,Movie,2013
31,Ankahi Kahaniya,Movie,2021
32,Chicago Party Aunt,TV Show,2021
33,Sex Education,TV Show,2020
34,Squid Game,TV Show,2021
35,Tayo and Little Wizards,TV Show,2020
36,The Father Who Moves Mountains,Movie,2021
37,The Stronghold,Movie,2021
38,Angry Birds,TV Show,2018
39,Birth of the Dragon,Movie,2017
40,Chhota Bheem,TV Show,2021
41,He-Man and the Masters of the Universe,TV Show,2021
42,Jaws,Movie,1975
43,Jaws 2,Movie,1978
44,Jaws 3,Movie,1983
45,Jaws: The Revenge,Movie,1987
46,My Heroes Were Cowboys,Movie,2021
47,Safe House,Movie,2012
48,The Smart Money Woman,TV Show,2020
49,Training Day,Movie,2001
50,Castle and Castle,TV Show,2021
51,Dharmakshetra,TV Show,2014
52,InuYasha the Movie 2: The Castle Beyond the Looking Glass,Movie,2002
53,InuYasha the Movie 3: Swords of an Honorable Ruler,Movie,2003
54,InuYasha the Movie 4: Fire on the Mystic Island,Movie,2004
55,InuYasha the Movie: Affections Touching Across Time,Movie,2001
56,Nailed It,TV Show,2021
57,Naruto Shippuden the Movie: Blood Prison,Movie,2011
58,Naruto Shippûden the Movie: Bonds,Movie,2008
59,Naruto Shippûden the Movie: The Will of Fire,Movie,2009
