movie_id,director_id
1,1
2,2
3,3
4,2
5,2
6,4
7,5
7,6
8,7
9,8
10,9
11,2
12,10
13,11
14,12
15,2
16,2
17,13
17,14
18,2
19,15
20,2
21,16
22,2
23,17
24,18
24,1083
24,19
24,1082
25,20
26,2
27,21
28,22
29,23
29,4115
30,24
31,25
31,2749
31,26
31,444
31,1267
31,27
31,2443
32,2
33,2
34,2
35,2
36,28
37,29
38,2
39,30
40,2
41,2
42,31
43,32
44,33
45,34
45,4626
46,35
47,36
48,37
49,38
50,2
51,2
52,39
53,39
54,39
55,39
56,2
57,40
57,4018
58,41
59,40
59,4018
60,41
61,40
61,4018
62,42
63,43
64,44
65,45
66,2
67,2
68,2
69,46
69,47
69,48
70,2
71,2
72,49
73,2
74,50
75,2
76,51
77,2
78,52
79,53
80,53
81,54
82,55
83,2
84,2
85,56
85,57
85,1449
86,2
87,58
88,2
89,59
90,2
91,60
92,61
92,62
93,2
94,63
95,64
96,2
97,65
98,2
99,2
100,2
101,2
102,66
102,67
103,68
104,69
105,2
106,70
107,2
108,71
109,2
110,2
111,72
111,1726
111,73
112,2
113,74
114,75
115,76
116,77
117,78
118,79
119,80
120,81
121,2
122,2
123,77
124,2
125,2
126,2
127,82
128,83
129,84
130,85
130,5035
131,86
132,87
133,2
134,88
135,89
136,90
137,91
138,92
139,85
139,5035
140,93
141,94
142,95
143,96
144,97
145,98
146,99
146,100
147,101
148,2
149,102
150,103
151,104
152,105
152,106
153,107
154,2
155,2
156,108
156,4930
157,109
158,110
159,111
160,112
161,2
162,113
163,98
164,114
165,115
166,2
167,116
168,117
168,118
169,119
169,4257
169,120
169,4256
169,4460
170,121
171,122
172,123
173,124
174,125
175,38
176,126
177,127
178,128
179,129
179,130
180,131
181,132
182,2
183,133
184,121
185,2
186,66
186,67
187,2
188,2
189,134
189,135
190,2
191,136
192,137
193,138
194,2
195,2
196,139
197,140
198,2
199,50
200,141
201,142
202,143
202,144
202,1128
203,145
204,146
205,138
206,147
207,148
207,1464
207,2814
208,149
209,150
210,150
211,151
212,152
213,2
214,2
215,153
216,149
217,154
217,155
218,150
219,2
220,2
221,2
222,156
223,157
224,158
224,159
225,2
226,2
227,2
228,160
229,161
230,162
231,163
232,164
233,2
234,165
235,2
236,166
237,167
237,206
238,167
238,206
239,167
239,206
240,167
240,206
241,168
242,2
243,2
244,2
245,169
246,2
247,170
248,171
249,2
250,172
251,173
252,174
253,175
254,176
255,2
256,177
257,178
258,176
259,179
260,180
261,2
262,12
263,181
264,2
265,182
265,4464
266,2
267,2
268,77
269,183
270,2
271,184
272,2
273,2
274,185
275,2
276,2
277,186
278,2
279,187
280,188
281,2
282,189
283,190
284,191
285,192
286,193
287,2
288,194
289,2
290,2
291,195
292,2
293,196
294,197
295,198
296,199
297,2
298,200
298,770
298,201
298,2618
298,2857
298,202
298,203
298,204
298,462
298,205
298,167
298,206
298,207
298,2486
298,208
298,1020
299,209
300,210
301,211
301,212
302,213
303,214
303,215
304,216
305,217
306,218
307,219
308,220
309,221
310,2
311,222
312,2
313,2
314,2
315,223
316,224
317,225
318,226
319,227
319,228
320,2
321,2
322,2
323,2
324,2
325,2
326,229
327,230
328,231
329,232
330,31
331,233
331,234
332,2
333,90
334,235
335,236
336,237
337,2
338,238
339,2
340,239
340,2460
340,240
340,2459
341,241
342,242
343,243
344,244
345,244
346,245
347,246
348,247
349,248
350,249
351,250
352,251
353,252
354,253
355,254
356,255
357,256
358,157
359,257
360,93
361,258
362,2
363,259
364,260
365,2
366,261
367,2
368,262
369,2
370,2
371,2
372,261
373,263
374,264
375,265
376,266
377,2
378,267
379,268
380,2
381,269
382,2
383,2
384,270
385,271
386,2
387,2
388,272
389,273
389,274
390,275
391,2
392,2
393,276
394,277
395,278
396,279
396,2261
397,280
398,2
399,281
400,2
401,2
402,2
403,282
404,2
405,2
406,283
406,3773
407,284
407,288
407,1744
407,3779
408,284
408,288
408,1744
408,3779
409,284
409,288
409,1744
409,3779
410,284
410,288
410,1744
410,3779
411,284
411,288
411,1744
411,3779
412,284
412,288
412,1744
412,3779
413,284
413,288
413,1744
413,3779
414,284
414,288
414,1744
414,3779
415,284
415,288
415,1744
415,3779
416,284
416,288
416,1744
416,3779
417,284
417,288
417,1744
417,3779
418,285
418,3780
419,286
419,287
419,3776
419,3777
420,284
420,288
420,1744
420,3779
421,284
421,288
421,1744
421,3779
422,284
422,288
422,1744
422,3779
422,289
423,284
423,288
423,1744
423,3779
424,284
424,288
